,id,title,city,age,gender,area,desired_wage,work_experience,education_level,languages,skills,about
0,01a1aa00000575c7f20039ed1f745a62524f4f,Инженер-механик,Усть-Илимск,0,Мужчина,"['Сервисный инженер, инженер-механик', 'Механик']",0,34.2,Высшее образование,"{'Русский': 'Родной', 'Английский': 'A1'}","['Техническая эксплуатация', 'Руководство коллективом', 'Работа в команде', 'Контроль исполнения решений', 'Эксплуатация', 'Материально-техническое обеспечение', 'Организаторские навыки', 'Творческое мышление', 'Управление производственным персоналом', 'Охрана труда и техника безопасности', 'Русский — Родной', 'Английский — A1 — Начальный']","Творческий, но не отрывающийся от земли лидер. Добиваюсь результата,  правильной мотивацией членов моей команды и стратегическому подходу». Активно занимаюсь спортом. Здоровые на уровне."
0,01bacdff000432067d0039ed1f634464737366,оператор по добыче нефти и газа ( 5 разряда ),Саратов,31,Мужчина,Другое,40000,12.6,Среднее специальное образование,{'Russian': 'Native'},"['умение организовать работы,лидерство,вежливость,отвественность', 'Русский — Родной']","есть права котегории B,C также опыт работы ГТИ"
0,01d04cf00004b5aad90039ed1f32477779554e,Региональный менеджер,Москва,55,Мужчина,"Менеджер по продажам, менеджер по работе с клиентами",100000,28.7,Высшее образование,{'Russian': 'Native'},"['1С: Торговля', 'Умение работать в коллективе', 'Управление продажами', '1С: Склад', 'Активные продажи', 'Ведение переговоров', 'Холодные продажи', 'Управление персоналом', 'Управление проектами', 'Поиск и привлечение клиентов', 'Навыки продаж', 'Планирование продаж', 'Пользователь ПК', 'Прямые продажи', 'Подбор персонала', 'Проведение презентаций', 'Организаторские навыки', 'Заключение договоров', 'Телефонные переговоры', 'Обучение и развитие', 'Управленческие навыки', 'Грамотная речь', 'Русский — Родной']","Ответственный, пунктуальный, мобильный, коммуникабельный, умею быть убедительным, готов к переменам, не конфликтен, работаю на достижение результата и эффективную работу, способен быстро обучаться, внимателен, широкий спектр интересов, ненормированный рабочий день, возможность командировок."
0,01d0b2330004f62e1e0039ed1f4e6557334b47,Оператор,Сегежа,38,Женщина,"['Офис-менеджер', 'Делопроизводитель, архивариус', 'Оператор ПК, оператор базы данных']",0,14,Среднее специальное образование,{'Russian': 'Native'},"['Пользователь ПК', 'Ведение отчетности', 'Точность и внимательность к деталям', 'Умение расставлять приоритеты', 'Навыки работы с первичной документацией', 'Материальная отвественность', 'Работа с большим объемом информации', 'Делопроизводство', 'Работа с базами данных', 'Работа с оргтехникой', 'Умение планировать', 'Работа в команде', 'Internet', 'Русский — Родной']","Пунктуальная, ответственная, трудолюбивая"
0,01d60e3900074e3cab0039ed1f656d6a426648,Инженер,Реутов,59,Мужчина,"Инженер-конструктор, инженер-проектировщик",83000,32.2,Высшее образование,"{'Русский': 'Родной', 'Немецкий': 'B1'}","['Пайка', 'Владение компьютером: офисные программы, AutoCAD', 'Комплектные трансформаторные подстанции 10/0,4 кВ', 'Эксплуатация газовых анализаторов Агат, Сигма', 'Уверенный пользователь ПК', '3-я группа по электробезопасности', 'Мультиметр', 'Мегаомметр', 'Чтение чертежей', '3 группа по электробезопасности', 'Электротехнические работы', 'Чтение электросхем', 'AutoCAD', 'нормативно-техническая документация', 'ЕСКД', 'разработка чертежей', 'ПУЭ', 'Электрические сети', 'Русский — Родной', 'Немецкий — B1 — Средний']","Личные качества: ответственность, внимательность, математический склад ума, коммуникабельность, умение работать с большим количеством информации.
Спортивный образ жизни, настольный теннис, пение под гитару."
0,01e1322f000304e8250039ed1f364d34683553,Начальник службы ГСМ,Хабаровск,43,Мужчина,"['Менеджер по продажам, менеджер по работе с клиентами', 'Аналитик', 'Сервисный инженер, инженер-механик', 'Механик', 'Начальник склада']",140000,18.2,Высшее образование,"{'Русский': 'Родной', 'Английский': 'A1'}","['Управление персоналом', 'Подбор персонала', 'Руководство коллективом', 'Водительское удостоверение категории B', 'Взаимодействие с контрольными органами', 'Умение работать в команде', 'Работа с ТМЦ', 'Внутренний контроль', 'Работа с претензиями', 'Деловая переписка', 'Работа с клиентами', 'Взаимодействие с государственными контролирующими органами', 'Умение принимать решения', 'Умение планировать', 'Ведение переговоров', 'Организаторские навыки', 'Русский — Родной', 'Английский — A1 — Начальный']","Хорошие организаторские способности, дифференцированный подход, умение совмещать несколько должностей, хорошо выраженные лидерские и управленческие качества. Аналитика. "
0,01e639e20002010b520039ed1f76375a337035,Генеральный директор Руководитель предприятия.Управляющий.,Ярославль,54,Мужчина,"Генеральный директор, исполнительный директор (CEO)",0,28.2,Высшее образование,{'Russian': 'Native'},"['Руководство коллективом', 'Коммуникабельность', 'Пользователь ПК', 'руководство в условиях кризиса', 'опыт открытия представительства ""с нуля""', 'Взаимодействие с контрольными органами', 'Проходил подготовку по ""Президентской программы подготовки управленческих кадров России""', 'Управление производством', 'Управление затратами', 'Обучение персонала', '◦Планирование деятельности компании', '◦Ведение финансового учета', '◦Поддержка работы офиса', '◦Отчет перед учредителями', '◦Подбор, Тестирование,Контроль, Создание и ведение БД исполнителей, Постановка задач Персонала', '◦Переговоры о цене (торги), Работа с возражениями, Заключение договоров', 'Русский — Родной']","Управленец, готов рассматривать другие отрасли ( не только стройматериалы). Интересны новые проекты.  Стрессоустойчивость, Умение нести ответственность за принятые решения, Инициатива, Мышление предпринимателя, а не наемного работника

Водительские права категория В.  Хобби- охота, хоккей."
0,01f073000003242d830039ed1f65516d585246,Начальник транспортного отдела,Лисаковск,57,Мужчина,Механик,0,28.1,Высшее образование,{'Russian': 'Native'},"['Производственное планирование', 'Управленческие навыки', 'Техническое обслуживание', 'Работа с ТМЦ', 'Технический контроль производства', 'Техническая эксплуатация', 'Расстановка приоритетов', 'Управление производством', 'Оперативное планирование', 'Управление бюджетом', 'Управление затратами', 'Руководство коллективом', 'Управление персоналом', 'Русский — Родной']","Семейное положение: женат 

Дети: дочь                      

Водительское удостоверение: категория В,С

Место проживания: г. Лисаковск, Костанайской обл."
0,01f8900d00063c03150039ed1f68483967355a,Техник механик по ремонту автотранспорта и спецтехники,Актобе,50,Мужчина,Механик,500000,31.5,Среднее специальное образование,"{'Казахский': 'Родной', 'Русский': 'C2'}","['Ремонт спецтехники и автотранспорта', 'Электродуговая сварка', 'Рихтовка автотранспорта', 'Ремонт ДВС', 'Исполнение личных поручений руководителя', 'Пайка пластмассы , оловом , латунью , серебро', 'Ремонт гидроцилиндров спецтехники', 'Требовательность к подчинённым', 'Капитальный ремонт ДВС и автотранспорта', 'Сварка полуавтомат', 'Казахский — Родной', 'Русский — C2 — В совершенстве']","Пунктуальность , исполнительный , работа в количестве , легко обучаем ."
0,021aa1790002fe31390039ed1f69376c4a4148,Директор,Санкт-Петербург,62,Мужчина,"Генеральный директор, исполнительный директор (CEO)",0,40.5,Высшее образование,"{'Русский': 'Родной', 'Английский': 'A1'}","['Руководство большими коллективами', 'Организация взаимодействий подразделений организации', 'Взаимодействия с органами гос. власти', 'Взаимодействие с надзорными органами', 'Русский — Родной', 'Английский — A1 — Начальный']","Требователен, исполнителен.                                                          В работе нацелен на конечный результат.                         Аккуратен в ведении документации.
В октябре 2020 года получен квалификационный аттестат по управлению многоквартирными домами.                                  Играю в большой теннис.                                                                          Имею водительское удостоверение категорий В,С. Стаж вождения более 40 лет."
0,0274dd7e0003f31c4e0039ed1f736b4b6c6e49,Заместитель руководителя проекта,Москва,28,Мужчина,Руководитель проектов,250000,7.8,Высшее образование,"{'Русский': 'Родной', 'Английский': 'B1'}","['AutoCAD', 'Проектная документация', 'MS Word', 'MS PowerPoint', 'Пользователь ПК', 'Организаторские навыки', 'Работа в команде', 'MS Office', '1С: Документооборот', 'Деловая переписка', 'Ведение переговоров', 'Adobe Photoshop', 'Чтение чертежей', 'ГОСТ, СНИП', 'Русский — Родной', 'Английский — B1 — Средний']",Имею опыт работы с Главгосэкспертизой. Знаю технологию строительных работ и материалов. Проводил точный подсчет объёмов работ в соответствии с заложенным бюджетом. Готов отстаивать интересы компании. Умению сконцентрироваться на поставленной задаче для достижения результата.
0,0282d66700071f61d90039ed1f554d65374f46,Грузчик,Магадан,35,Мужчина,"['Упаковщик, комплектовщик', 'Грузчик', 'Кладовщик']",50000,13.3,Среднее специальное образование,{'Russian': 'Native'},"['Своевременное выполнение поставленных задач.', 'Ответственный подход к обязанностям.', 'Русский — Родной']",No information
0,02941f100003ffb0200039ed1f626d474b7458,Специалист БПЛА,Калуга,32,Мужчина,"['Сервисный инженер, инженер-механик', 'Инженер по качеству', 'Инженер по эксплуатации', 'Инженер ПТО, инженер-сметчик', 'Менеджер по продажам, менеджер по работе с клиентами']",226000,9.1,Высшее образование,"{'Русский': 'Родной', 'Английский': 'B1'}","['MS Office', 'AutoCAD', 'Adobe InDesign', 'MS Excel', 'Compass 3D', 'Русский — Родной', 'Английский — B1 — Средний']",No information
0,02995a7000079bfba50039ed1f755467557831,Инженер-электрик,Югорск,47,Мужчина,Электромонтажник,0,6.11,Высшее образование,"{'Русский': 'Родной', 'Английский': 'B1'}","['Владение Microsoft Office, Foxit PhantomPDF,', 'Свободное владение английским', 'работы на высоте 2 группа', 'промбезопасность 1, 1.19,2.4,2.7,2.8,2.13,7.2,8.23, 9.31, 9.32', 'Программирование в Uprog и Pprog , опыт монтажа систем охранно-пожарной сигнализации Bolid', 'Прохождение обучения по программе «Строительный контроль»', 'Группа по электробезопасности 3', 'Русский — Родной', 'Английский — B1 — Средний']","Желание работать, обучаемость, ответственность, внимательность при оформлении документов, умение работать в условиях многозадачности, коммуникабельность, отсутствие вредных привычек."
0,02fd39cd00044fd6670039ed1f3749736e7356,Пианист-тапер ( классика,Алматы,0,Мужчина,"Учитель, преподаватель, педагог",1000,48.4,Высшее образование,"{'Уйгурский': 'Родной', 'Казахский': 'C2', 'Русский': 'C2'}","['Пользователь ПК', 'Ведение переговоров', 'Грамотная речь', 'Организаторские навыки', 'Управление персоналом', 'Деловое общение', 'Организация мероприятий', 'Уйгурский — Родной', 'Казахский — C2 — В совершенстве', 'Русский — C2 — В совершенстве']",Лауреат Республиканских и Международных конкурсов
0,0307168f0004d4442f0039ed1f4d5a6e51536c,Подсобный рабочий,Иркутск,34,Мужчина,Разнорабочий,100000,4.2,Среднее специальное образование,{'Russian': 'Native'},Русский — Родной,"Трудолюбив,отвестственнный,исполнительный"
0,030dbeca00021aad340039ed1f6c46544c6443,Директор по качеству,Санкт-Петербург,36,Мужчина,"['Специалист по сертификации', 'Другое', 'Инженер по качеству']",0,16.1,Высшее образование,"{'Русский': 'Родной', 'Английский': 'B1'}","['Целеустремленность, профессионализм, умение работать в коллективе, лидерские качества, адекватность.', 'Быстрое принятие решения', 'Опыт руководства персоналом', 'Решение внештатных задач', 'Обеспечение ритмичного и качественного выпуска продукции', 'Знание нормативных документов', 'Управление производством', 'Знание технических параметров станков с ЧПУ', 'Инженер-програмист КИМ', 'Повышение показателей в области качества', 'Знание законодательных, методических материалов по управлению качеством продукци', 'Знание системы гос. надзора, межведомственного и ведомственного контроля за качеством продукции', 'Знание системы, методов и средств технического контроля', 'Знание порядка предъявления и рассм. рекламаций по качеству сырья, материалов, полуфабр., комп-их', 'Опыт проведения испытаний и приемки продукции', 'Опыт организации учета, порядок и сроки составления отчетности о качестве продукции', 'Большой и успешный опыт работы с военным представителем заказчика', 'Опыт работы с большим объёмом данных, в режиме многозадачности', 'Русский — Родной', 'Английский — B1 — Средний']","Опыт по направлениям и процессам:
- Организация проведения работ по контролю качества выпускаемой продукции;
- Умение управлять коллективом, обучение и мотивация сотрудников;
- Постановка задач, организация работы, контроль исполнения, ведение отчетности;
- Определение приоритетных направлений по улучшению качества продукции предприятия;
- Знание и определение необходимых средств измерений для обеспечения качества продукции на предприятии;
- Определение целей в области качества организации и структурных подразделений;
- Разработка планов по достижению целей в области качества и в производственной системы;
- Разработка политики предприятия в области качества;
- Разработка план графиков внутренних аудитов;
- Проведение  внутренних и внешних аудитов СМК;
- Обеспечение оценки результативности и проведение анализа процессов СМК;
- Изготовление продукции и контроль качества согласно ISO 9001 и ГОСТ РВ 0015-002;
- Разработка и актуализация стандартов предприятия;
- Определение номенклатуры измеряемых параметров и оптимальных норм точности измерений, выбор необходимых средств измерения;
- Написание и анализ рекламаций, изучение причин возникновения дефектов и нарушений технологии производства, ухудшения качества работ, выпуска брака и разработка предложений по их устранению;
- Оформление результатов контрольных операций, ведение учета показателей качества продукции, брака и его причин, составлению периодической отчетности о качестве выпускаемой продукции и выполняемых работ;
- Метрологическое обеспечение вооружения и военной техники по ГОСТ РВ 0008-003 и ГОСТ РВ 0008-000;
- Обеспечение единства измерений при выполнении ГОЗ согласно ГОСТ РВ 0008-001;
- Проведение входного контроля согласно ГОСТ РВ 0015-308;
- Изучение передового отечественного и зарубежного опыта по разработке и внедрению систем управления качеством;
- Обеспечение ритмичной и качественной приемки продукции на предприятии;
- Опыт гарантийной рекламационной работы и рекламационной работой с поставщиками (в том числе по ГОСТ РВ 0015-703); 
- Достижение плановых показателей;
- Оптимизация производственного процесса;
- Разработка программы мероприятий по совершенствованию деятельности организации;
- Большой и успешный опыт работы с военными представителями заказчика;
- Испытания и приёмка продукции по ГОСТ РВ 15.307;
- Успешный долголетний опыт работы на участках станков с ЧПУ, слесарно-сборочных, испытательных и заготовительных участках, - Большой опыт в написании техпроцессов и состовлении контрольных карт для проверки изделий.
- Оптимизация контроля качества продукции.
- Успешный опыт внедрения системы разработки и постановки продукции на производство по ГОСТ РВ 0015-301.
- Контроль и поддержание трудовой дисциплины;
- Организация и контроль соблюдения норм охраны труда;
- Уровень владения П.К. - продвинутый пользователь, знание программ Exel,Word,1C: Предприятие, Документооборот, Solid works, Компас, знание основ 3D моделирования, Corel;
- Опыт работ по программированию, на станках с ПУ : токарные ,гидроабразивные, гибочные, шлифовачные ,фрезерные;
- Инженер-програмист Координатно-измерительной машины ZEISS DuraMax (написание программ, измерение сложных деталей);
- Имеется опыт работы слесарем инструментальщиком и слесарем механосборочных работ 3-го разряда;
- Уровень Английского языка -Intermediate;
- Сертификат обучения -""Бережливое производство"" основы систем 5S и Шесть Сигм;
- Сертификат повышения квалификации ""Система менеджмента качества. Базовые требования. Внутренний удитор СМК""
- Прохождение тренинга ""Результативное управление персоналом""(центр ""Синтон"");
- Личностные качества: целеустремленность, профессионализм, умение работать в коллективе, лидерские качества,стрессоустойчивость ,адекватность , быстрое и качественное выполнение поставленных задач."
0,0311ca1900063e96ec0039ed1f6f666b78554f,Главный специалист УКС,Нефтекамск,37,Мужчина,"['Руководитель проектов', 'Руководитель строительного проекта', 'Главный инженер проекта']",230000,15.1,Высшее образование,"{'Русский': 'Родной', 'Немецкий': 'A1'}","['Системное мышление', 'Деловая коммуникация', 'Амбициозность', 'Управление процессами', 'Русский — Родной', 'Немецкий — A1 — Начальный']","Высокий уровень ответственности, целеустремленность, самообучаемость"
0,0332e2db00085332030039ed1f704743727a47,Инженер-механик,Хабаровск,57,Мужчина,"['Механик', 'Сервисный инженер, инженер-механик']",0,33.7,Высшее образование,{'Russian': 'Native'},"['Исполнительность', 'Русский — Родной']","Имеется загранпаспорт, водительское удостоверение международные."
0,034d85c30003f67bbc0039ed1f457835344645,Data scientist (Computer Vision),Москва,24,Мужчина,"['Дата-сайентист', 'Аналитик', 'Программист, разработчик']",0,2.7,Высшее образование,"{'Русский': 'Родной', 'Английский': 'B2'}","['Английский язык', 'Python', 'Анализ данных', 'ML', 'Визуализация', 'Машинное обучение', 'ML алгоритмы', 'Глубокое обучение', 'Компьютерное зрение', 'C++', 'Линейная алгебра', 'OpenCV', 'Jupyter', 'Deep Learning', 'SciPy', 'Визуализация данных', 'PyTorch', 'Data Science', 'Scikit-learn', 'Seaborn', 'Machine Learning', 'Matplotlib', 'Numpy', 'Pandas', 'Математическая статистика', 'Git', 'Computer Vision', 'Математический анализ', 'Алгоритмы', 'Предобработка данных', 'Русский — Родной', 'Английский — B2 — Средне-продвинутый']","Добрый день! Я студент 6 курса мехмата МГУ. 
Фанатею по генерирующим нейросетям и машинам марки Volvo."
0,034e5d0600045a42860039ed1f7a68424e5863,Заведующий производством,Санкт-Петербург,34,Мужчина,Технолог,80000,9,Среднее специальное образование,{'Russian': 'Native'},Русский — Родной,"Пунктуальный,целеустремлённый."
0,036045480008c25b1d0039ed1f435769376441,Программист-разработчик,Санкт-Петербург,23,Мужчина,"Программист, разработчик",0,3,Высшее образование (Бакалавр),"{'Русский': 'Родной', 'Английский': 'B1'}","['Python', 'Первичная обработка данных', 'Selenium IDE', 'PostgreSQL', 'Flask', 'Requests', 'Redis', 'Django Rest Framework', 'ООП', 'JSON', 'REST API', 'Базы данных', 'Разработка ПО', 'Code review', 'Рефакторинг кода', 'Программирование', 'Фреймворки', 'MongoDB', 'Docker', 'Git', 'Коммуникативная компетентность', 'SqlAlchemy', 'JSON API', 'FastAPI', 'Docker-compose', 'Backend', 'API', 'Celery', 'Русский — Родной', 'Английский — B1 — Средний']","- Более 3 лет в коммерческой разработке на python .
- быстро изучаю новые технологии
- всегда нахожусь в свете последних новостей( читаю много статей и новстных пабликов, посещают митапы)

Из технологий :
Python(aiohttp, requests, pandas, flask, fastapi, pydantic, Marshmallow, sqlalchemy),
бд : postgres, mongoDB, readis
Контейнеризация: Docker, Docker-compose
Конвейры данных и отложенный запуск: airflow
Из кейсов:

Система для автоматического расчёта скидок и отправки их в другие сервисы для рассылки. Присутствует api для управление и получения фидбека о рассылках с этого сервиса. ( большая система из нескольких автономных сервисов, некоторые из которых запускаются через  airflow)
написание парсеров больших сетевых магазинов( ашан, магнит, пятёрочка, лента и другие)
интеграция workflow software и мегаплана, для автоматизации задач в бизнесе
написание разных etl процессов

И многие другие
Есть опыт работы напрямую с заказчиком."
